# time, vdd, inp, inn, out
6.990476470359653378e-05,5.020951765208764295e-01,7.245715881050019957e-01,1.057428646997106370e+00,1.408018877912782518e-01
7.000000000000000742e-05,5.000000000000000000e-01,7.299999999999999822e-01,1.060000000000000053e+00,1.402103248306739991e-01
7.006110470108588739e-05,4.974947072554788963e-01,7.260281944294177947e-01,1.058411277771767134e+00,1.394721732814955539e-01
7.018331410325764734e-05,4.924841217664367443e-01,7.180845832882534197e-01,1.055233833315301517e+00,1.376224186381908021e-01
7.042773290760116723e-05,4.824629507883524404e-01,7.021973610059245585e-01,1.048878944402369839e+00,1.322236214508386298e-01
7.091657051628819347e-05,4.624206088321843877e-01,6.704229164412678355e-01,1.036169166576507150e+00,1.178569236377110113e-01
7.189424573366224593e-05,4.223359249198482268e-01,6.068740273119545003e-01,1.010749610924781772e+00,8.508389152488857188e-02
7.345198521333491724e-05,3.584686062532687068e-01,5.056209611332308507e-01,9.702483844532924229e-01,4.117750422305847813e-02
7.513102450973386528e-05,2.896279951009118059e-01,3.964834068672992151e-01,9.265933627469197242e-01,1.976362939564314455e-02
7.657934391891740606e-05,2.302468993243865780e-01,3.023426452703689704e-01,8.889370581081477152e-01,1.394213829171322798e-02
7.776507192646887532e-05,1.816320510147763634e-01,2.252703247795234676e-01,8.581081299118094030e-01,1.028216431107224944e-02
7.908675387077110104e-05,1.274430912983851027e-01,1.393609983998788104e-01,8.237443993599515846e-01,7.947071019552479423e-03
8.000000000000000654e-05,8.999999999999999667e-02,8.000000000000000167e-02,8.000000000000000444e-01,6.492052923094015181e-03
8.026433638886045440e-05,1.029524830541619362e-01,1.043189477751612082e-01,7.952419450005119295e-01,6.276219952475145178e-03
8.079300916658135011e-05,1.288574491624858431e-01,1.529568433254836213e-01,7.857258350015358106e-01,5.886483680887934222e-03
8.185035472202312797e-05,1.806673813791329630e-01,2.502326344261271984e-01,7.666936150035839059e-01,5.207155729657885097e-03
8.369392855377229734e-05,2.710024991348422563e-01,4.198414269470507887e-01,7.335092860320987507e-01,5.515336935524976954e-03
8.567597936133054034e-05,3.681229887051962191e-01,6.021901012424091260e-01,6.978323714960503743e-01,1.607007667739419887e-02
8.762372205137521758e-05,4.635623805173852974e-01,7.813824287265194179e-01,6.627730030752462254e-01,6.286633463503443764e-02
8.996543870179499441e-05,5.783064963879543940e-01,9.968203605651388965e-01,6.206221033676901921e-01,1.753776225319856052e-01
9.000000000000000567e-05,5.799999999999999600e-01,1.000000000000000000e+00,6.199999999999999956e-01,1.773698137405688435e-01
9.006912259641002819e-05,5.831105168384509430e-01,1.000207367789230029e+00,6.174424639328291997e-01,1.811032192942960140e-01
9.020736778923007322e-05,5.893315505153530198e-01,1.000622103367690308e+00,6.123273917984874970e-01,1.883491236054455065e-01
9.045417066006685998e-05,6.004376797030084312e-01,1.001362511980200543e+00,6.031956855775263415e-01,2.007051899574396892e-01
9.094777640174041993e-05,6.226499380783185877e-01,1.002843329205221234e+00,5.849322731356046967e-01,2.267130404699332913e-01
9.193498788508755340e-05,6.670744548289396780e-01,1.005804963655262618e+00,5.484054482517607410e-01,3.118852715949987364e-01
9.348286789390626193e-05,7.367290552257815817e-01,1.010448603681718849e+00,4.911338879254685263e-01,5.372785658271014286e-01
9.548459427143279974e-05,8.268067422144758094e-01,1.016453782814298323e+00,4.170700119569865638e-01,7.968486917630541733e-01
9.781652504987228629e-05,9.317436272442527478e-01,1.023449575149616875e+00,3.307885731547255959e-01,9.241130009347816587e-01
1.000000000000000048e-04,1.030000000000000027e+00,1.030000000000000027e+00,2.500000000000000000e-01,1.011776898272045866e+00
1.003342150233411652e-04,1.032005290140046938e+00,1.016297184043012392e+00,2.419788394398121600e-01,1.022167315699321621e+00
1.010026450700234860e-04,1.036015870420140983e+00,9.888915521290373434e-01,2.259365183194364524e-01,1.034247541345673538e+00
1.023395051633881411e-04,1.044037030980328851e+00,9.340802883010864699e-01,1.938518760786847317e-01,1.041845953496261856e+00
1.050132253501174378e-04,1.060079352100704586e+00,8.244577606451852780e-01,1.296825915971815957e-01,1.057885636193440337e+00
1.096698014399390814e-04,1.088018808639634516e+00,6.335381409624978311e-01,1.792476544146215378e-02,1.085149049880842487e+00
